wavelength      k_l
   0.00000     100.
   610.00000     28.59271
   620.00000     28.40726
   630.00000     28.22180
   640.00000     28.03635
   650.00000     27.85089
   660.00000     27.66544
   670.00000     27.47999
   680.00000     27.29453
   690.00000     27.10908
   700.00000     26.92362
   710.00000     26.73817
   720.00000     26.55271
   730.00000     26.36726
   740.00000     26.18181
   750.00000     25.99635
   760.00000     25.81090
   770.00000     25.62544
   780.00000     25.43999
   790.00000     25.25453
   800.00000     25.06908
   810.00000     24.88363
   820.00000     24.69817
   830.00000     24.51272
   840.00000     24.32726
   850.00000     24.14181
   860.00000     23.95635
   870.00000     23.77090
   880.00000     23.58545
   890.00000     23.39999
   900.00000     23.21454
   910.00000     23.02908
   920.00000     22.84363
   930.00000     22.65817
   940.00000     22.47272
   950.00000     22.28727
   960.00000     22.10181
   970.00000     21.91636
   980.00000     21.73090
   990.00000     21.54545
  1000.00000     21.35999
  1010.00000     21.17454
  1020.00000     20.98908
  1030.00000     20.80363
  1040.00000     20.61818
  1050.00000     20.43272
  1060.00000     20.24727
  1070.00000     20.06181
  1080.00000     19.87636
  1090.00000     19.69090
  1100.00000     19.50545
  1110.00000     19.32000
  1120.00000     19.13454
  1130.00000     18.94909
  1140.00000     18.76363
  1150.00000     18.57818
  1160.00000     18.39272
  1170.00000     18.20727
  1180.00000     18.02182
  1190.00000     17.83636
  1200.00000     17.65091
  1210.00000     17.46545
  1220.00000     17.28000
  1230.00000     17.09454
  1240.00000     16.90909
  1250.00000     16.72364
  1260.00000     16.53818
  1270.00000     16.35273
  1280.00000     16.16727
  1290.00000     15.98182
  1300.00000     15.79636
  1310.00000     15.61091
  1320.00000     15.42546
  1330.00000     15.24000
  1340.00000     15.05636
  1350.00000     14.87273
  1360.00000     14.68909
  1370.00000     14.50546
  1380.00000     14.32182
  1390.00000     14.15900
  1400.00000     14.01700
  1410.00000     13.87500
  1420.00000     13.73300
  1430.00000     13.59100
  1440.00000     13.43273
  1450.00000     13.25818
  1460.00000     13.08364
  1470.00000     12.90909
  1480.00000     12.73455
  1490.00000     12.56000
  1500.00000     12.45818
  1510.00000     12.35636
  1520.00000     12.25455
  1530.00000     12.15273
  1540.00000     12.05091
  1550.00000     11.97800
  1560.00000     11.93400
  1570.00000     11.89000
  1580.00000     11.84600
  1590.00000     11.80200
  1600.00000     11.72519
  1610.00000     11.61558
  1620.00000     11.50596
  1630.00000     11.39635
  1640.00000     11.28673
  1650.00000     11.18283
  1660.00000     11.09226
  1670.00000     11.00170
  1680.00000     10.91113
  1690.00000     10.82057
  1700.00000     10.73000
  1710.00000     10.67545
  1720.00000     10.62091
  1730.00000     10.56636
  1740.00000     10.51182
  1750.00000     10.45727
  1760.00000     10.38091
  1770.00000     10.28273
  1780.00000     10.18455
  1790.00000     10.08636
  1800.00000      9.98818
  1810.00000      9.89000
  1820.00000      9.83600
  1830.00000      9.78200
  1840.00000      9.72800
  1850.00000      9.67400
  1860.00000      9.62000
  1870.00000      9.59200
  1880.00000      9.56400
  1890.00000      9.53600
  1900.00000      9.50800
  1910.00000      9.48000
  1920.00000      9.43778
  1930.00000      9.39556
  1940.00000      9.35333
  1950.00000      9.31111
  1960.00000      9.26889
  1970.00000      9.22667
  1980.00000      9.18444
  1990.00000      9.14222
  2000.00000      9.10000
  2010.00000      9.05391
  2020.00000      9.00783
  2030.00000      8.96174
  2040.00000      8.91565
  2050.00000      8.86957
  2060.00000      8.82348
  2070.00000      8.77739
  2080.00000      8.73130
  2090.00000      8.68522
  2100.00000      8.63913
  2110.00000      8.59304
  2120.00000      8.54381
  2130.00000      8.49143
  2140.00000      8.43905
  2150.00000      8.38667
  2160.00000      8.33429
  2170.00000      8.28191
  2180.00000      8.22952
  2190.00000      8.17714
  2200.00000      8.12476
  2210.00000      8.07238
  2220.00000      8.02000
  2230.00000      7.95304
  2240.00000      7.88609
  2250.00000      7.81913
  2260.00000      7.75217
  2270.00000      7.68522
  2280.00000      7.61826
  2290.00000      7.55130
  2300.00000      7.48435
  2310.00000      7.41739
  2320.00000      7.35044
  2330.00000      7.28348
  2340.00000      7.23682
  2350.00000      7.21045
  2360.00000      7.18409
  2370.00000      7.15773
  2380.00000      7.13136
  2390.00000      7.10500
  2400.00000      7.07864
  2410.00000      7.05227
  2420.00000      7.02591
  2430.00000      6.99955
  2440.00000      6.97318
  2450.00000      6.94429
  2460.00000      6.91286
  2470.00000      6.88143
  2480.00000      6.85000
  2490.00000      6.81857
  2500.00000      6.78714
  2510.00000      6.75571
  2520.00000      6.72429
  2530.00000      6.69286
  2540.00000      6.66143
  2550.00000      6.63000
  2560.00000      6.59348
  2570.00000      6.55696
  2580.00000      6.52043
  2590.00000      6.48391
  2600.00000      6.44739
  2610.00000      6.41087
  2620.00000      6.37435
  2630.00000      6.33783
  2640.00000      6.30130
  2650.00000      6.26478
  2660.00000      6.22826
  2670.00000      6.19496
  2680.00000      6.16487
  2690.00000      6.13478
  2700.00000      6.10469
  2710.00000      6.07460
  2720.00000      6.04451
  2730.00000      6.01442
  2740.00000      5.98434
  2750.00000      5.95425
  2760.00000      5.92416
  2770.00000      5.89407
  2780.00000      5.86732
  2790.00000      5.85393
  2800.00000      5.84054
  2810.00000      5.82714
  2820.00000      5.81375
  2830.00000      5.80036
  2840.00000      5.78696
  2850.00000      5.77357
  2860.00000      5.76018
  2870.00000      5.74679
  2880.00000      5.73339
  2890.00000      5.72000
  2900.00000      5.68667
  2910.00000      5.65333
  2920.00000      5.62000
  2930.00000      5.58667
  2940.00000      5.55333
  2950.00000      5.52000
  2960.00000      5.48667
  2970.00000      5.45333
  2980.00000      5.42000
  2990.00000      5.38667
  3000.00000      5.35364
  3010.00000      5.32091
  3020.00000      5.28818
  3030.00000      5.25545
  3040.00000      5.22273
  3050.00000      5.19000
  3060.00000      5.15727
  3070.00000      5.12455
  3080.00000      5.09182
  3090.00000      5.05909
  3100.00000      5.02636
  3110.00000      5.00599
  3120.00000      4.99798
  3130.00000      4.98997
  3140.00000      4.98195
  3150.00000      4.97394
  3160.00000      4.96593
  3170.00000      4.95791
  3180.00000      4.94990
  3190.00000      4.94189
  3200.00000      4.93387
  3210.00000      4.92586
  3220.00000      4.91785
  3230.00000      4.90983
  3240.00000      4.90182
  3250.00000      4.89381
  3260.00000      4.88579
  3270.00000      4.87778
  3280.00000      4.86977
  3290.00000      4.86175
  3300.00000      4.85374
  3310.00000      4.84573
  3320.00000      4.83771
  3330.00000      4.82970
  3340.00000      4.82169
  3350.00000      4.81367
  3360.00000      4.80566
  3370.00000      4.79765
  3380.00000      4.78963
  3390.00000      4.78162
  3400.00000      4.77361
  3410.00000      4.76559
  3420.00000      4.75758
  3430.00000      4.74957
  3440.00000      4.74155
  3450.00000      4.73354
  3460.00000      4.72553
  3470.00000      4.71751
  3480.00000      4.70950
  3490.00000      4.70149
  3500.00000      4.69347
  3510.00000      4.68546
  3520.00000      4.67745
  3530.00000      4.66943
  3540.00000      4.66142
  3550.00000      4.65341
  3560.00000      4.64539
  3570.00000      4.63738
  3580.00000      4.62937
  3590.00000      4.62135
  3600.00000      4.61334
  3610.00000      4.60533
  3620.00000      4.59731
  3630.00000      4.58930
  3640.00000      4.58129
  3650.00000      4.57327
  3660.00000      4.56526
  3670.00000      4.55725
  3680.00000      4.54923
  3690.00000      4.54122
  3700.00000      4.53321
  3710.00000      4.52118
  3720.00000      4.50648
  3730.00000      4.49178
  3740.00000      4.47708
  3750.00000      4.46238
  3760.00000      4.44768
  3770.00000      4.43298
  3780.00000      4.41828
  3790.00000      4.40358
  3800.00000      4.38887
  3810.00000      4.37417
  3820.00000      4.35947
  3830.00000      4.34477
  3840.00000      4.33007
  3850.00000      4.31537
  3860.00000      4.30067
  3870.00000      4.28597
  3880.00000      4.27127
  3890.00000      4.25657
  3900.00000      4.24187
  3910.00000      4.22717
  3920.00000      4.21247
  3930.00000      4.19777
  3940.00000      4.18307
  3950.00000      4.16837
  3960.00000      4.15367
  3970.00000      4.13897
  3980.00000      4.12426
  3990.00000      4.10956
  4000.00000      4.09486
  4010.00000      4.08016
  4020.00000      4.06546
  4030.00000      4.05076
  4040.00000      4.03606
  4050.00000      4.02136
  4060.00000      4.00666
  4070.00000      3.99196
  4080.00000      3.97726
  4090.00000      3.96256
  4100.00000      3.94786
  4110.00000      3.93316
  4120.00000      3.91846
  4130.00000      3.90376
  4140.00000      3.88906
  4150.00000      3.87436
